Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,OOSP-327,10551,BUG-008 Missing dropdown options after adding product from Comparison page,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,15/Nov/25 2:56 PM,15/Nov/25 2:56 PM,
Bug,OOSP-326,10550,BUG-007 Review stars are not clickable,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,15/Nov/25 2:39 PM,15/Nov/25 2:43 PM,
Bug,OOSP-325,10549,BUG-006 Customer Service & Wishlist links are not clickable,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,15/Nov/25 2:31 PM,15/Nov/25 2:32 PM,
Bug,OOSP-324,10548,BUG-005 User session lost during checkout,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,15/Nov/25 2:24 PM,15/Nov/25 2:25 PM,
Bug,OOSP-323,10547,BUG-004 Checkout shows stock error even after item added to cart,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,High,To Do,,15/Nov/25 2:06 PM,15/Nov/25 2:08 PM,
Bug,OOSP-322,10546,BUG-003 System asks to upload a file when adding an item to cart without specifying allowed file types,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,High,To Do,,15/Nov/25 1:47 PM,15/Nov/25 2:05 PM,
Bug,OOSP-321,10545,BUG-002 Password reset allows PIN creation without identity verification,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,15/Nov/25 1:31 PM,15/Nov/25 1:57 PM,
Bug,OOSP-320,10544,BUG-001 Wrong validation message when registering,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,15/Nov/25 1:15 PM,15/Nov/25 1:17 PM,
Bug,OOSP-310,10534,"When creating a topic without SEO title, the system throws an error though it’s optional.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,To Do,,15/Nov/25 11:46 AM,15/Nov/25 11:46 AM,
Bug,OOSP-278,10469,Update Email (Unique Constraint) (database),Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,High,To Do,,14/Nov/25 8:25 PM,14/Nov/25 11:56 PM,
Bug,OOSP-202,10361,Invalid Date (Text),,,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,High,To Do,,13/Nov/25 4:26 PM,13/Nov/25 10:25 PM,
Bug,OOSP-201,10360,Invalid Birth Date/Year,,,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,High,To Do,,13/Nov/25 4:24 PM,13/Nov/25 10:25 PM,
Bug,OOSP-200,10359,user phone number didn't come back with showing full data,,,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,High,To Do,,13/Nov/25 4:23 PM,13/Nov/25 10:25 PM,
Bug,OOSP-145,10240,Product deletion not working.,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,Medium,To Do,,09/Nov/25 5:16 PM,13/Nov/25 8:25 PM,
Bug,OOSP-144,10239,Product image not validly displayed after creation/edit (BUG03).,,,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,High,To Do,,09/Nov/25 5:03 PM,13/Nov/25 8:18 PM,
Bug,OOSP-143,10238,Dashboard statistics fail to reflect new entries (Orders/Sales) after refresh (BUG01).,,,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,High,To Do,,09/Nov/25 4:52 PM,09/Nov/25 4:52 PM,
Bug,OOSP-142,10237,Customer Transaction Report shows “No results” even when data exists,,,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,Medium,To Do,,09/Nov/25 4:47 PM,13/Nov/25 9:24 PM,
Bug,OOSP-141,10236,Catalog Product Filter fails to filter results when using the 'Price' field (TC07).,,,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,Medium,To Do,,09/Nov/25 4:44 PM,09/Nov/25 5:25 PM,
