Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,OOSP-243,10434,"6. Order Confirmation & Email Notification ""As a customer, I want to receive a clear order confirmation page and email after completing checkout, so I can verify that my order was successfully placed and contains the correct details.""",,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 7:19 PM,14/Nov/25 9:08 PM,
Story,OOSP-242,10433,"3.Search Bar ""As a customer, I want to search for products by name , brand, or category so that I can easily find the products I’m interested in without browsing through all categories.""",,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 7:19 PM,14/Nov/25 8:06 PM,
Story,OOSP-241,10432,"5.Cart & Checkout Process ""As a customer, I want to add products to my cart, manage quantities, choose shipping and payment options, and confirm my order, so I can complete my purchase easily and securely.""",,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 5:41 PM,14/Nov/25 9:07 PM,
Story,OOSP-239,10430,"4.Top Navigation Bar ""As a customer, I want to use the top navigation bar to quickly access product categories and subcategories so that I can easily browse and find products without typing in the search bar.""",,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 5:38 PM,14/Nov/25 8:32 PM,
Story,OOSP-181,10308,"US03: As an admin, I want to add new products to the catalog (including name, price, description, category, image, and quantity) so that customers can view and purchase them.",,,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,Medium,To Do,,12/Nov/25 8:59 PM,12/Nov/25 9:00 PM,
Story,OOSP-180,10307,"US02: As an admin, I want to filter dashboard data by date range (Today, This Week, This Month, Custom Range) so that I can analyze sales trends.",,,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,Medium,To Do,,12/Nov/25 8:55 PM,12/Nov/25 8:55 PM,
Story,OOSP-179,10306,"US01: As an admin, I want to view dashboard statistics (total sales, total orders, total customers, and top products) so that I can monitor store performance.",,,Noha,712020:caf69772-5666-4d9b-a48b-77b17c684822,High,To Do,,12/Nov/25 8:50 PM,12/Nov/25 8:51 PM,
Story,OOSP-161,10288,"As an admin, I want to review quarantined comments marked as spam.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:39 PM,14/Nov/25 5:39 AM,
Story,OOSP-160,10287,"As an admin, I want to define spam sensitivity and banned keywords.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:39 PM,14/Nov/25 5:39 AM,
Story,OOSP-159,10286,"As an admin, I want to enable spam protection to block spam comments automatically.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:39 PM,14/Nov/25 5:39 AM,
Story,OOSP-158,10285,"As an admin, I want to filter comments by their related article or approval status.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:38 PM,14/Nov/25 5:39 AM,
Story,OOSP-157,10284,"As an admin, I want to modify or remove inappropriate comments.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:38 PM,14/Nov/25 5:38 AM,
Story,OOSP-156,10283,"As an admin, I want to view comments on articles and approve or reject them.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:38 PM,14/Nov/25 5:38 AM,
Story,OOSP-155,10282,"As an admin, I want to see view counts or engagement metrics.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:37 PM,14/Nov/25 5:38 AM,
Story,OOSP-154,10281,"As an admin, I want to set articles as “draft” or “published.”",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:37 PM,14/Nov/25 5:38 AM,
Story,OOSP-153,10280,"As an admin, I want to set SEO title, meta description, and keywords.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:37 PM,14/Nov/25 5:38 AM,
Story,OOSP-152,10279,"As an admin, I want to link an article to one or more topics for better organization.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:37 PM,14/Nov/25 5:38 AM,
Story,OOSP-151,10278,"As an admin, I want to create and edit articles with content, images, categories, and tags.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:36 PM,14/Nov/25 5:38 AM,
Story,OOSP-150,10277,"As an admin, I want to enable or disable a topic’s visibility to publish or unpublish it.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:36 PM,14/Nov/25 5:38 AM,
Story,OOSP-149,10276,"As an admin, I want to view all topics in a list and search/filter them by name or sort order.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:36 PM,14/Nov/25 5:38 AM,
Story,OOSP-148,10275,"As an admin, I want to delete outdated topics so that the CMS remains clean.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:35 PM,14/Nov/25 5:38 AM,
Story,OOSP-147,10274,"As an admin, I want to edit an existing topic to update its content or correct mistakes.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:34 PM,14/Nov/25 4:40 AM,
Story,OOSP-146,10273,"As an admin, I want to create a new topic with a title, description, and SEO data so that it can be displayed on the website.",,,Momen Rashed,712020:f68fcdad-27af-427a-b7f6-fd3878b2a7ef,Medium,Pass,Done,12/Nov/25 4:33 PM,14/Nov/25 4:39 AM,
Story,OOSP-124,10187,Monitor System Logs,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Medium,To Do,,07/Nov/25 11:50 PM,07/Nov/25 11:51 PM,
