Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Test cases,OOSP-294,10485,Update Customer Address and Verify Update,,,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,15/Nov/25 1:54 AM,15/Nov/25 1:57 AM,
Test cases,OOSP-293,10484,Verify Shipping Charge Stored in Order Totals,,,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,15/Nov/25 1:53 AM,15/Nov/25 1:57 AM,
Test cases,OOSP-292,10483,Verify Product Stock Reduces After Purchase,,,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,15/Nov/25 1:52 AM,15/Nov/25 1:57 AM,
Test cases,OOSP-291,10482,Verify Order History Log (Read),,,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Fail,Done,15/Nov/25 1:51 AM,15/Nov/25 1:57 AM,
Test cases,OOSP-290,10481,TC 5.2 Verify cart updates after adding multiple products,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 9:12 PM,14/Nov/25 9:12 PM,
Test cases,OOSP-289,10480,TC 5.1 Verify adding a product to the cart,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 9:10 PM,14/Nov/25 9:10 PM,
Test cases,OOSP-288,10479,TC 4.7 Verify navigation bar consistency,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 9:06 PM,14/Nov/25 9:06 PM,
Test cases,OOSP-287,10478,TC 4.6 Verify correct products display under category,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 8:54 PM,14/Nov/25 8:54 PM,
Test cases,OOSP-286,10477,TC 4.5 Verify breadcrumb updates correctly,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 8:53 PM,14/Nov/25 8:53 PM,
Test cases,OOSP-285,10476,TC 4.4 Verify redirection for subcategory,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 8:52 PM,14/Nov/25 8:52 PM,
Test cases,OOSP-283,10474,TC 4.3 Verify subcategory dropdown,,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,14/Nov/25 8:49 PM,14/Nov/25 8:49 PM,
